"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric","Kappa"
"1",1,0.5,0.002,1,185,166,674,604,0.581799595630394,0.0459320102447225,0.157181467181467,0.23447401774398,0.197619047619048,0.101556738713095,0.962513294382519
"2",1,0.5,0.002,2,295,402,1288,1417,0.543540376320301,-0.0860177700702385,-0.380451308795507,0.17231308411215,0.237869822485207,-0.233234539432873,1.06530473119649
"3",1,0.5,0.002,3,940,439,1638,1137,0.682402283394094,0.305860805860806,0.532978723404255,0.452575830524795,0.211362542128069,0.419419764632531,0.758786711603274
"4",1,0.5,0.002,4,430,277,1317,1169,0.528699320387664,0.115152171321958,0.353793294622275,0.268918073796123,0.173776662484316,0.234472732972117,0.904941756995981
"5",1,0.5,0.002,5,376,244,935,853,0.665881637636121,0.124816054093803,0.323543211881689,0.305939788445891,0.206955046649703,0.224179632987746,0.902044507094582
"6",1,0.5,0.002,6,785,576,1362,1085,0.622676638907744,0.174409291149379,0.291987931612471,0.419786096256685,0.297213622291022,0.233198611380925,0.876839396310367
"7",1,0.5,0.002,7,3287,1421,4955,3043,0.688256118421965,0.381410004415729,0.570809821131036,0.519273301737757,0.222867001254705,0.476109912773383,0.703319469042482
"8",1,0.5,0.002,8,676,439,1923,1606,0.440379500579212,0.135568647986936,0.372586916112611,0.296231375985977,0.185859441151566,0.254077782049774,0.888663855474899
"9",1,0.5,0.002,9,500,450,1134,1065,0.57951459483009,0.0494446980069982,0.110795454545455,0.319488817891374,0.284090909090909,0.0801200762762264,0.964518467076473
"10",1,0.5,0.002,10,497,335,967,775,0.664270135930209,0.179650153167743,0.341486708268042,0.390723270440252,0.257296466973886,0.260568430717892,0.866039341781729
"11",2,0.5,0.2515,1,291,221,619,498,0.618020852193856,0.143473159824812,0.286659302896416,0.368821292775665,0.263095238095238,0.215066231360614,0.893135009871183
"12",2,0.5,0.2515,2,583,472,1218,1129,0.43980966239009,0.0849820833908813,0.1798552680991,0.34053738317757,0.279289940828402,0.13241867574499,0.93890516382136
"13",2,0.5,0.2515,3,1319,581,1496,758,0.735488460751208,0.49331550802139,0.559514783927218,0.635050553683197,0.279730380356283,0.526415145974304,0.644679826673086
"14",2,0.5,0.2515,4,825,380,1214,774,0.675992602026204,0.364431847334568,0.537949127409604,0.515947467166979,0.238393977415307,0.451190487372086,0.722553730874413
"15",2,0.5,0.2515,5,736,327,852,493,0.759025073309634,0.444902531544024,0.536864559132648,0.598860862489829,0.27735368956743,0.490883545338336,0.679411013797009
"16",2,0.5,0.2515,6,994,683,1255,876,0.66805668228451,0.276609923940601,0.336986833280384,0.531550802139037,0.352425180598555,0.306798378610493,0.820549451582281
"17",2,0.5,0.2515,7,4045,1733,4643,2285,0.721435289523708,0.504284933169877,0.57466077208568,0.639020537124803,0.271800501882058,0.539472852627779,0.63266441264197
"18",2,0.5,0.2515,8,1071,553,1809,1211,0.654122922759645,0.307101167645074,0.501148356604849,0.469325153374233,0.234123624047417,0.404124762124961,0.763644336327997
"19",2,0.5,0.2515,9,698,532,1052,867,0.621586673443702,0.165849925290638,0.246964631993285,0.446006389776358,0.335858585858586,0.206407278641961,0.889710606062136
"20",2,0.5,0.2515,10,647,417,885,625,0.692238718372315,0.277129303912163,0.370337395565495,0.508647798742138,0.320276497695853,0.323733349738829,0.811273157558511
"21",3,0.5,0.501,1,307,227,613,482,0.624255386565272,0.162877824574027,0.305479292694276,0.389100126742712,0.270238095238095,0.234178558634151,0.879960229025954
"22",3,0.5,0.501,2,630,480,1210,1082,0.579983790023779,0.117276202981386,0.228176951253874,0.367990654205608,0.284023668639053,0.17272657711763,0.916224755181382
"23",3,0.5,0.501,3,1343,593,1484,734,0.736560569262962,0.505390835579515,0.558451228592703,0.646605681271064,0.285507944150217,0.531921032086109,0.638902262879153
"24",3,0.5,0.501,4,873,391,1203,726,0.69721508816285,0.398395817835025,0.55071423335791,0.545966228893058,0.245294855708908,0.474555025596467,0.699427390535187
"25",3,0.5,0.501,5,750,339,840,479,0.758506781615621,0.452961176333837,0.528831212892282,0.610252237591538,0.287531806615776,0.490896194613059,0.678057213435402
"26",3,0.5,0.501,6,1008,695,1243,862,0.669124269465737,0.281298910261099,0.334708298524088,0.53903743315508,0.358617131062951,0.308003604392593,0.819296580626368
"27",3,0.5,0.501,7,4108,1776,4600,2222,0.722594578603412,0.513446253176729,0.57079188143464,0.648973143759874,0.278544542032622,0.542119067305684,0.629477225450957
"28",3,0.5,0.501,8,1162,576,1786,1120,0.664992141124331,0.350916123358913,0.521091988614917,0.50920245398773,0.243861134631668,0.436004055986915,0.733583144385473
"29",3,0.5,0.501,9,723,544,1040,842,0.625745272210927,0.180555419021873,0.256604775276974,0.461980830670926,0.343434343434343,0.218580097149424,0.881317976567457
"30",3,0.5,0.501,10,657,432,870,615,0.691162121168208,0.276431359791802,0.357616312101509,0.516509433962264,0.331797235023041,0.317023835946655,0.814981138853961
"31",4,0.5,0.7505,1,311,228,612,478,0.626645391997103,0.168468401302219,0.311391823610473,0.394169835234474,0.271428571428571,0.239930112456346,0.87606663772024
"32",4,0.5,0.7505,2,648,488,1202,1064,0.589045823425317,0.126183774705709,0.23711008839214,0.378504672897196,0.288757396449704,0.181646931548924,0.91044883184532
"33",4,0.5,0.7505,3,1350,598,1479,727,0.736709853129247,0.508451656524679,0.557037037037037,0.649975926817525,0.287915262397689,0.532744346780858,0.637939335580164
"34",4,0.5,0.7505,4,891,400,1194,708,0.70606197568587,0.408889349813483,0.549658018917743,0.557223264540338,0.250941028858218,0.479273684365613,0.693810264922481
"35",4,0.5,0.7505,5,754,344,835,475,0.758593048542054,0.454281022982513,0.52441825671623,0.613506916192026,0.291772688719254,0.489349639849372,0.678991314263365
"36",4,0.5,0.7505,6,1015,705,1233,855,0.669431659519986,0.281353682813537,0.329789992221934,0.542780748663102,0.363777089783282,0.305571837517735,0.820744081172492
"37",4,0.5,0.7505,7,4131,1797,4579,2199,0.722358751518828,0.516274274997438,0.568134726356735,0.65260663507109,0.281838143036386,0.542204500677087,0.62914654998209
"38",4,0.5,0.7505,8,1193,586,1776,1089,0.668081517839054,0.365328244546036,0.525438044250507,0.522787028921998,0.24809483488569,0.445383144398272,0.724278598515744
"39",4,0.5,0.7505,9,728,548,1036,837,0.626408856940007,0.182276388666165,0.256281912531913,0.46517571884984,0.345959595959596,0.219279150599039,0.8806516963696
"40",4,0.5,0.7505,10,663,436,866,609,0.690833647315692,0.280181053640682,0.357535570059289,0.52122641509434,0.334869431643625,0.318858311849985,0.813350556893083
"41",5,0.5,1,1,317,230,610,472,0.628857354094997,0.176213925076357,0.318499324019829,0.401774397972117,0.273809523809524,0.247356624548093,0.870832438557454
"42",5,0.5,1,2,669,490,1200,1043,0.595499052977935,0.142002531152648,0.258028851681835,0.390771028037383,0.289940828402367,0.200015691417242,0.89938134686826
"43",5,0.5,1,3,1354,604,1473,723,0.736428902747356,0.509164969450102,0.553914327917282,0.651901781415503,0.290804044294656,0.531539648683692,0.638902262879153
"44",5,0.5,1,4,905,400,1194,694,0.711386037226843,0.420577978489487,0.556624635199678,0.565978736710444,0.250941028858218,0.488601306844583,0.685053113481995
"45",5,0.5,1,5,761,346,833,468,0.758727624947291,0.461032256678098,0.526053282420457,0.61920260374288,0.293469041560645,0.493542769549278,0.674950638446159
"46",5,0.5,1,6,1015,706,1232,855,0.66918359519434,0.280770365997639,0.328839339728632,0.542780748663102,0.364293085655315,0.304804852863135,0.821262483441531
"47",5,0.5,1,7,4134,1814,4562,2196,0.721527410252903,0.515134087277759,0.564365554428526,0.653080568720379,0.284504391468005,0.539749820853143,0.631343569799769
"48",5,0.5,1,8,1215,588,1774,1067,0.670296696674857,0.377448825028383,0.532440597526683,0.532427695004382,0.248941574936494,0.454944711277533,0.715502583912936
"49",5,0.5,1,9,731,550,1034,834,0.626752952851196,0.183631296308885,0.256630946952424,0.467092651757189,0.347222222222222,0.220131121630654,0.879998966183708
"50",5,0.5,1,10,666,438,864,606,0.690906104783159,0.28206892033543,0.357495744592519,0.523584905660377,0.336405529953917,0.319782332463974,0.812535376845039
"51",6,1.625,0.002,1,563,172,668,226,0.813318546683566,0.639807836797887,0.713042375031718,0.713561470215463,0.204761904761905,0.676425105914802,0.490141113394206
"52",6,1.625,0.002,2,884,342,1348,828,0.684083116739479,0.393649990293685,0.608085892527243,0.516355140186916,0.202366863905325,0.500867941410464,0.686590819236425
"53",6,1.625,0.002,3,1648,457,1620,429,0.850076461620022,0.735185185185185,0.722694174757281,0.793452094366875,0.22002888781897,0.728939679971233,0.426576793452094
"54",6,1.625,0.002,4,1302,321,1273,297,0.841889496493652,0.767422392333779,0.752682871829268,0.814258911819887,0.20138017565872,0.760052632081523,0.387106836067619
"55",6,1.625,0.002,5,875,274,905,354,0.793088431881219,0.624753539013437,0.673577123470253,0.711960943856794,0.232400339270568,0.649165331241845,0.52110040654973
"56",6,1.625,0.002,6,1078,400,1538,792,0.724088591248489,0.466319895968791,0.641962047977086,0.576470588235294,0.20639834881321,0.554140971972938,0.628561743159005
"57",6,1.625,0.002,7,4962,1142,5234,1368,0.846114539416176,0.736732664839991,0.771511290070534,0.783886255924171,0.179109159347553,0.754121977455262,0.395145003769308
"58",6,1.625,0.002,8,1471,509,1853,811,0.759722854040865,0.546988019049574,0.665696551620923,0.644609991235758,0.215495342929721,0.606342285335248,0.569921480162529
"59",6,1.625,0.002,9,825,323,1261,740,0.636357182044083,0.406039630801661,0.61318105295378,0.527156549520767,0.203914141414141,0.509610341877721,0.676240207822348
"60",6,1.625,0.002,10,792,278,1024,480,0.798292902066487,0.520194575471698,0.657077689335754,0.622641509433962,0.213517665130568,0.588636132403726,0.590126270783503
"61",7,1.625,0.2515,1,494,176,664,295,0.783702999577524,0.527005359842411,0.665355696934644,0.626108998732573,0.20952380952381,0.596180528388528,0.581498668764509
"62",7,1.625,0.2515,2,925,349,1341,787,0.679518401260853,0.420666157909776,0.617791140252679,0.540303738317757,0.206508875739645,0.519228649081227,0.666760061253967
"63",7,1.625,0.2515,3,1723,455,1622,354,0.845189037649901,0.781750924784217,0.73592571096924,0.82956186807896,0.219065960519981,0.758838317876728,0.389504092441021
