"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity"
"1",1,0.5,0.002,1,235,121,279,166,0.684881546134663,0.406501666979505,0.48381914893617,0.586034912718205,0.3025
"2",1,0.5,0.002,2,240,433,586,717,0.568524061637662,-0.302818106925439,-0.69439401373896,0.250783699059561,0.424926398429833
"3",1,0.5,0.002,3,209,203,350,381,0.440446562662825,-0.0203050847457624,-0.036278844406759,0.354237288135593,0.367088607594937
"4",1,0.5,0.002,4,1056,1199,1988,1985,0.56890543185192,-0.0464290180411637,-0.083401971551093,0.34725419269977,0.376215877000314
"5",1,0.5,0.002,5,223,192,331,323,0.522058566035622,0.0652756105928312,0.101149799792504,0.408424908424908,0.367112810707457
"6",1,0.5,0.002,6,299,217,375,287,0.65304745872152,0.226830489192264,0.2816030913857,0.510238907849829,0.366554054054054
"7",1,0.5,0.002,7,137,227,369,486,0.582357503743523,-0.259992953059547,-0.731996766766276,0.219903691813804,0.380872483221476
"8",1,0.5,0.002,8,155,230,559,610,0.516224723941119,-0.125469150092953,-0.438734208266896,0.202614379084967,0.291508238276299
"9",1,0.5,0.002,9,375,197,337,147,0.720105615107552,0.553770592448583,0.486471910112359,0.718390804597701,0.368913857677903
"10",1,0.5,0.002,10,196,268,358,449,0.522075686653293,-0.217244813996795,-0.408847884201604,0.303875968992248,0.428115015974441
"11",1,0.5,0.002,11,205,575,1317,1650,0.573526495444003,-0.277836789075883,-1.75002578249884,0.110512129380054,0.303911205073996
"12",1,0.5,0.002,12,568,293,507,210,0.720162275064267,0.574086186702362,0.498340669014085,0.730077120822622,0.36625
"13",1,0.5,0.002,13,295,209,329,157,0.640207092805211,0.432000968340641,0.404776006552832,0.652654867256637,0.388475836431227
"14",1,0.5,0.002,14,117,208,370,437,0.473736149800757,-0.232247048492536,-0.7039600153787,0.211191335740072,0.359861591695502
"15",1,0.5,0.002,15,178,147,270,239,0.565918488230998,0.114814814814815,0.174157303370786,0.426858513189448,0.352517985611511
"16",1,0.5,0.002,16,887,438,627,116,0.904456115222408,0.803555839658059,0.534947679311495,0.884346959122632,0.411267605633803
"17",1,0.5,0.002,17,244,160,314,211,0.574922335048917,0.299965003149717,0.370547139793871,0.536263736263736,0.337552742616034
"18",1,0.5,0.002,18,1310,819,1468,923,0.685427338971358,0.356048607035171,0.389570990363722,0.586654724585759,0.358111062527328
"19",1,0.5,0.002,19,243,246,549,526,0.609900139853277,0.00950066440697239,0.0207624815591272,0.315994798439532,0.309433962264151
"20",1,0.5,0.002,20,100,108,209,225,0.464697888861927,-0.0500552079499448,-0.107255520504732,0.307692307692308,0.340694006309148
"21",2,0.5,0.112888888888889,1,253,141,259,148,0.677044887780549,0.429996437477734,0.441294466403162,0.630922693266833,0.3525
"22",2,0.5,0.112888888888889,2,369,463,556,588,0.50651211106018,-0.126068424257459,-0.178399036198409,0.385579937304075,0.454367026496565
"23",2,0.5,0.112888888888889,3,269,217,336,321,0.61603426609863,0.104555084745763,0.139334619547315,0.45593220338983,0.392405063291139
"24",2,0.5,0.112888888888889,4,1126,1290,1897,1915,0.565191622865292,-0.0579547450005433,-0.0931648944619043,0.370272936534035,0.404769375588328
"25",2,0.5,0.112888888888889,5,225,210,313,321,0.481909104280041,0.017642102306639,0.025621414913958,0.412087912087912,0.401529636711281
"26",2,0.5,0.112888888888889,6,368,236,356,218,0.697309404114012,0.381370556429037,0.36519535840188,0.627986348122867,0.398648648648649
"27",2,0.5,0.112888888888889,7,250,243,353,373,0.464514634750665,-0.0108630905015028,-0.0160335570469801,0.401284109149278,0.407718120805369
"28",2,0.5,0.112888888888889,8,275,258,531,490,0.562125467001334,0.0482626195487612,0.0903560318008987,0.359477124183007,0.326996197718631
"29",2,0.5,0.112888888888889,9,422,213,321,100,0.776611850129866,0.681311991979088,0.506603120506949,0.808429118773946,0.398876404494382
"30",2,0.5,0.112888888888889,10,267,287,339,378,0.465439482873913,-0.0821979831240998,-0.107531320673439,0.413953488372093,0.458466453674121
