"","rep","model","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric"
"1",1,"LMERR",891,301,973,459,0.755561951276237,0.554820143884892,0.642024642024642,0.66,0.236263736263736,0.598422392954767
"2",2,"LMERR",1944,781,2243,970,0.769767676478812,0.551218753930095,0.612864913340736,0.667124227865477,0.258267195767196,0.582041833635415
"3",3,"LMERR",1381,374,1003,93,0.895979106251275,0.913379941586367,0.710104504697795,0.936906377204885,0.271604938271605,0.811742223142081
"4",4,"LMERR",1777,527,1403,156,0.866519598251262,0.888982259949211,0.702971766469074,0.919296430419038,0.273056994818653,0.795977013209142
"5",5,"LMERR",1026,350,941,303,0.825571663289113,0.687208987125266,0.648828370953203,0.772009029345372,0.271107668474051,0.668018679039235
"6",6,"LMERR",1176,631,1976,1369,0.673149289015594,0.290308257041273,0.476196021177938,0.462082514734774,0.242040659762179,0.383252139109606
"7",7,"LMERR",877,313,812,264,0.857251144220469,0.679435980019255,0.638025592296972,0.768624014022787,0.278222222222222,0.658730786158114
"8",8,"LMERR",1360,587,1596,733,0.706258279950247,0.52097785074248,0.586176942146533,0.649784997611085,0.268896014658726,0.553577396444507
"9",9,"LMERR",1001,280,884,147,0.876915029275477,0.831392782253614,0.724124672578281,0.871951219512195,0.240549828178694,0.777758727415948
"10",10,"LMERR",1030,377,1022,357,0.805348655157433,0.647662739133441,0.637120134353942,0.742609949531363,0.269478198713367,0.642391436743691
"11",11,"LMERR",961,339,948,302,0.801052734544421,0.675381099852671,0.653820685038167,0.760886777513856,0.263403263403263,0.664600892445419
"12",12,"LMERR",1585,600,1309,296,0.849484339131716,0.770507129921709,0.627003418970079,0.842636895268474,0.314300680984809,0.698755274445894
"13",13,"LMERR",1397,451,1448,486,0.846288414647618,0.661512720679062,0.679885393472735,0.741901221455125,0.237493417588204,0.670699057075899
"14",14,"LMERR",1077,376,918,295,0.827160340842011,0.69691844991965,0.629837877555004,0.784985422740525,0.290571870170015,0.663378163737327
"15",15,"LMERR",1525,712,2134,1205,0.689598215090134,0.411339519586942,0.552144511134408,0.558608058608059,0.250175685172171,0.481742015360675
"16",16,"LMERR",5466,1685,4521,796,0.886391586098616,0.825507297609912,0.688949022928957,0.872884062599808,0.271511440541412,0.757228160269435
"17",17,"LMERR",1318,417,1028,147,0.853264995217119,0.858956056360473,0.679232453491974,0.899658703071672,0.288581314878893,0.769094254926224
"18",18,"LMERR",1149,498,1588,923,0.697579607754584,0.414838484580298,0.569488495978411,0.55453667953668,0.238734419942474,0.492163490279355
"19",19,"LMERR",1187,381,1001,189,0.868902605761788,0.810365506586437,0.680416280081978,0.862645348837209,0.275687409551375,0.745390893334207
"20",20,"LMERR",4876,1487,3862,433,0.915223942552534,0.887037186786672,0.697317439598701,0.918440384253155,0.277995887081698,0.792177313192687
"21",21,"LMERR",1362,333,1267,230,0.879871231155779,0.81755660702883,0.756729074889868,0.855527638190955,0.208125,0.787142840959349
"22",22,"LMERR",1525,550,1773,645,0.791704870747544,0.610560091074255,0.66309817011637,0.702764976958525,0.236762806715454,0.636829130595313
"23",23,"LMERR",874,356,949,460,0.767325532635981,0.52581664910432,0.583625730994152,0.655172413793103,0.2727969348659,0.554721190049236
"24",24,"LMERR",2347,807,2180,524,0.860481452368134,0.749921230655176,0.669509930049102,0.817485196795542,0.270170739872782,0.709715580352139
"25",25,"LMERR",1060,336,861,182,0.85201059546343,0.796276658418758,0.671102284011917,0.853462157809984,0.280701754385965,0.733689471215337
